Key,Timestamp,AEDT_Timestamp,Translation
k,01:02.7,01:02.7,White-throated Treecreeper
F8,01:04.3,01:04.3,Brown Thornbill
k,01:05.2,01:05.2,White-throated Treecreeper
k,01:08.4,01:08.4,White-throated Treecreeper
F8,01:13.6,01:13.6,Brown Thornbill
1,01:16.9,01:16.9,Grey Fantail
k,01:18.0,01:18.0,White-throated Treecreeper
`,01:19.2,01:19.2,Golden Whistler
F8,01:21.0,01:21.0,Brown Thornbill
F8,01:28.0,01:28.0,Brown Thornbill
F8,01:33.1,01:33.1,Brown Thornbill
1,01:41.3,01:41.3,Grey Fantail
F8,01:42.3,01:42.3,Brown Thornbill
F8,01:53.6,01:53.6,Brown Thornbill
F10,01:56.0,01:56.0,Eastern Spinebill
F7,02:11.4,02:11.4,Brown Gerygone
F7,02:17.9,02:17.9,Brown Gerygone
F10,02:22.0,02:22.0,Eastern Spinebill
k,02:32.8,02:32.8,White-throated Treecreeper
F10,02:43.6,02:43.6,Eastern Spinebill
k,02:59.5,02:59.5,White-throated Treecreeper
F2,03:29.0,03:29.0,Australian Rufous Fantail
F2,03:36.0,03:36.0,Australian Rufous Fantail
F2,03:38.3,03:38.3,Australian Rufous Fantail
F2,03:42.9,03:42.9,Australian Rufous Fantail
1,03:44.0,03:44.0,Grey Fantail
F2,03:50.1,03:50.1,Australian Rufous Fantail
F2,03:55.6,03:55.6,Australian Rufous Fantail
F2,04:11.7,04:11.7,Australian Rufous Fantail
F2,04:13.3,04:13.3,Australian Rufous Fantail
l,04:57.5,04:57.5,Willie Wagtail
l,05:02.9,05:02.9,Willie Wagtail
l,05:12.5,05:12.5,Willie Wagtail
l,05:15.7,05:15.7,Willie Wagtail
1,05:19.2,05:19.2,Grey Fantail
l,05:27.8,05:27.8,Willie Wagtail
l,05:30.6,05:30.6,Willie Wagtail
k,05:33.8,05:33.8,White-throated Treecreeper
l,05:34.8,05:34.8,Willie Wagtail
k,05:35.9,05:35.9,White-throated Treecreeper
k,05:37.5,05:37.5,White-throated Treecreeper
k,05:39.1,05:39.1,White-throated Treecreeper
l,05:40.1,05:40.1,Willie Wagtail
k,05:41.2,05:41.2,White-throated Treecreeper
k,05:42.7,05:42.7,White-throated Treecreeper
k,05:44.8,05:44.8,White-throated Treecreeper
k,05:46.6,05:46.6,White-throated Treecreeper
l,05:48.9,05:48.9,Willie Wagtail
k,05:49.4,05:49.4,White-throated Treecreeper
k,05:51.1,05:51.1,White-throated Treecreeper
1,05:53.4,05:53.4,Grey Fantail
q,05:57.9,05:57.9,Rainbow Lorikeet
k,06:00.5,06:00.5,White-throated Treecreeper
k,06:02.2,06:02.2,White-throated Treecreeper
k,06:04.4,06:04.4,White-throated Treecreeper
k,06:06.2,06:06.2,White-throated Treecreeper
k,06:07.6,06:07.6,White-throated Treecreeper
k,06:08.8,06:08.8,White-throated Treecreeper
k,06:10.3,06:10.3,White-throated Treecreeper
k,06:11.8,06:11.8,White-throated Treecreeper
k,06:13.5,06:13.5,White-throated Treecreeper
k,06:15.1,06:15.1,White-throated Treecreeper
k,06:16.6,06:16.6,White-throated Treecreeper
k,06:18.7,06:18.7,White-throated Treecreeper
k,06:19.8,06:19.8,White-throated Treecreeper
k,06:21.2,06:21.2,White-throated Treecreeper
k,06:22.6,06:22.6,White-throated Treecreeper
l,06:23.1,06:23.1,Willie Wagtail
k,06:24.4,06:24.4,White-throated Treecreeper
k,06:25.6,06:25.6,White-throated Treecreeper
k,06:27.4,06:27.4,White-throated Treecreeper
k,06:29.2,06:29.2,White-throated Treecreeper
k,06:30.8,06:30.8,White-throated Treecreeper
k,06:32.4,06:32.4,White-throated Treecreeper
k,06:33.8,06:33.8,White-throated Treecreeper
q,06:34.6,06:34.6,Rainbow Lorikeet
k,06:35.4,06:35.4,White-throated Treecreeper
k,06:37.1,06:37.1,White-throated Treecreeper
k,06:39.4,06:39.4,White-throated Treecreeper
k,06:40.8,06:40.8,White-throated Treecreeper
k,06:43.2,06:43.2,White-throated Treecreeper
k,06:47.8,06:47.8,White-throated Treecreeper
k,06:51.1,06:51.1,White-throated Treecreeper
y,06:53.3,06:53.3,Scaly-breasted Lorikeet
k,06:54.3,06:54.3,White-throated Treecreeper
k,06:56.0,06:56.0,White-throated Treecreeper
k,06:57.8,06:57.8,White-throated Treecreeper
k,06:59.2,06:59.2,White-throated Treecreeper
k,07:00.8,07:00.8,White-throated Treecreeper
k,07:02.8,07:02.8,White-throated Treecreeper
k,07:04.5,07:04.5,White-throated Treecreeper
k,07:06.0,07:06.0,White-throated Treecreeper
k,07:07.8,07:07.8,White-throated Treecreeper
k,07:09.3,07:09.3,White-throated Treecreeper
k,07:10.9,07:10.9,White-throated Treecreeper
k,07:12.6,07:12.6,White-throated Treecreeper
k,07:14.1,07:14.1,White-throated Treecreeper
k,07:15.5,07:15.5,White-throated Treecreeper
k,07:18.8,07:18.8,White-throated Treecreeper
k,07:20.6,07:20.6,White-throated Treecreeper
k,07:22.1,07:22.1,White-throated Treecreeper
k,07:24.5,07:24.5,White-throated Treecreeper
k,07:25.8,07:25.8,White-throated Treecreeper
k,07:27.4,07:27.4,White-throated Treecreeper
k,07:29.1,07:29.1,White-throated Treecreeper
k,07:30.8,07:30.8,White-throated Treecreeper
k,07:32.3,07:32.3,White-throated Treecreeper
k,07:33.9,07:33.9,White-throated Treecreeper
k,07:35.3,07:35.3,White-throated Treecreeper
k,07:36.9,07:36.9,White-throated Treecreeper
k,07:38.3,07:38.3,White-throated Treecreeper
k,07:39.9,07:39.9,White-throated Treecreeper
k,07:41.3,07:41.3,White-throated Treecreeper
k,07:43.3,07:43.3,White-throated Treecreeper
k,07:47.5,07:47.5,White-throated Treecreeper
k,07:51.5,07:51.5,White-throated Treecreeper
x,07:54.7,07:54.7,Large-billed Scrubwren
9,08:06.7,08:06.7,Mistletoebird
1,08:08.3,08:08.3,Grey Fantail
1,08:11.0,08:11.0,Grey Fantail
1,08:23.6,08:23.6,Grey Fantail
1,08:33.6,08:33.6,Grey Fantail
i,08:38.1,08:38.1,Silvereye
i,08:43.7,08:43.7,Silvereye
F7,08:47.8,08:47.8,Brown Gerygone
1,08:55.8,08:55.8,Grey Fantail
1,09:13.7,09:13.7,Grey Fantail
F7,09:30.0,09:30.0,Brown Gerygone
F7,09:38.5,09:38.5,Brown Gerygone
