AEDT_Timestamp,min,sec,Translation,
,17,21,Brown Gerygone,
,17,21,Golden Whistler,
,17,22,Brown Gerygone,
,17,23,Brown Gerygone,
,17,23,Golden Whistler,
,17,24,Brown Gerygone,
,17,25,Brown Gerygone,
,17,26,Brown Gerygone,
,17,27,Brown Gerygone,
,17,28,Brown Gerygone,
,17,27,Golden Whistler,
,17,28,Golden Whistler,
,17,29,Golden Whistler,
,17,30,Golden Whistler,
,17,31,Golden Whistler,
,17,32,Brown Gerygone,
,17,33,Brown Gerygone,
,17,34,Golden Whistler,
,17,35,,
,17,36,,
,17,35,Eastern Shrike-tit,
,17,36,Eastern Shrike-tit,
,17,36,Golden Whistler,
,17,37,Eastern Shrike-tit,
,17,38,Brown Gerygone,
,17,39,Brown Gerygone,
,17,39,Golden Whistler,
,17,40,Brown Gerygone,
,17,41,Brown Gerygone,
,17,42,Brown Gerygone,
,17,42,Golden Whistler,
,17,43,Brown Gerygone,
,17,44,Brown Gerygone,
,17,45,Golden Whistler,
,17,46,Brown Gerygone,
,17,47,Golden Whistler,
,17,48,Golden Whistler,
,17,49,Brown Gerygone,
,17,49,Golden Whistler,
,17,50,Brown Gerygone,
,17,51,Brown Gerygone,
,17,51,Golden Whistler,
,17,52,Brown Gerygone,
,17,53,Brown Gerygone,
,17,54,,
,17,55,Golden Whistler,
,17,56,Golden Whistler,
,17,57,Golden Whistler,
,17,58,Golden Whistler,
,17,59,Golden Whistler,
,18,0,Golden Whistler,
,18,1,,
,18,2,Golden Whistler,
,18,3,,
,18,4,Golden Whistler,
,18,5,,
,18,6,,
,18,7,,
,18,8,,
,18,9,,
,18,10,,
,18,11,Golden Whistler,
,18,12,Golden Whistler,
,18,13,Brown Gerygone,
,18,14,Australian Rufous Fantail,
,18,15,Australian Rufous Fantail,
,18,16,Australian Rufous Fantail,
,18,17,,
,18,18,Golden Whistler,
,18,19,Golden Whistler,
,18,20,,
,18,21,,
,18,22,Golden Whistler,
,18,23,Golden Whistler,
,18,24,Golden Whistler,
,18,25,Golden Whistler,
,18,26,,
,18,27,Brown Gerygone,
,18,28,Brown Gerygone,
,18,27,Golden Whistler,
,18,28,Golden Whistler,
,18,29,,
,18,30,Golden Whistler,
,18,31,Golden Whistler,
,18,32,Golden Whistler,
,18,33,,
,18,34,,
,18,35,Golden Whistler,
,18,36,,
,18,37,Golden Whistler,
,18,38,,
,18,39,Golden Whistler,
,18,40,,
,18,41,,
,18,42,Golden Whistler,
,18,43,Golden Whistler,
,18,44,,
,18,45,Golden Whistler,
,18,46,,
,18,47,,
,18,48,Golden Whistler,
,18,49,,
,18,50,Golden Whistler,
,18,51,,
,18,52,,
,18,53,,
,18,54,,
,18,55,,
,18,56,Golden Whistler,
,18,57,,
,18,58,,
,18,59,,
,19,0,,
,19,1,Golden Whistler,
,19,2,,
,19,3,,
,19,4,,
,19,5,,
,19,6,,
,19,7,,
,19,8,,
,19,9,,
,19,10,,
,19,11,,
,19,12,Golden Whistler,
,19,13,,
,19,14,,
,19,15,,
,19,16,,
,19,17,,
,19,18,Golden Whistler,
,19,19,,
,19,20,,
,19,21,,
,19,22,,
,19,23,,
,19,24,,
,19,25,,
,19,26,,
,19,27,,
,19,28,Australian Rufous Fantail,
,19,29,,
,19,30,,
,19,31,,
,19,32,Brown Thornbill,
,19,33,Eastern Shrike-tit,
,19,34,Eastern Shrike-tit,
,19,35,Eastern Shrike-tit,
,19,33,Brown Thornbill,
,19,34,Brown Thornbill,
,19,35,Brown Thornbill,
